Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	Speaker1	Speaker2	GOLD_S1	GOLD_S2	RITA_S1	RITA_S2	CHAT_S1	CHAT_S2
00:00:00.000	00:00:01.350	00:00:01.350	we just ↑remi[NISCE]		INFORMATION		INFORMATION		INFORMATION	
00:00:00.950	00:00:01.800	00:00:00.850		[remi]nisce		REPEAT		REPEAT		REPEAT
00:00:01.840	00:00:02.230	00:00:00.390	[eh]		OTHER		OTHER		INTERRUPTION	
00:00:01.850	00:00:03.020	00:00:01.170		(a)[bout] a shared memory		ELABORATION		ELABORATION		INFORMATION
00:00:03.460	00:00:03.950	00:00:00.490	'kay		ATTENTION		ATTENTION		ATTENTION	
00:00:04.340	00:00:05.960	00:00:01.620	m::h hhh ((tsk))		THINK		THINK		THINK	
00:00:05.960	00:00:07.130	00:00:01.170		which memory would you like		QUESTION		QUESTION		QUESTION
00:00:08.345	00:00:14.258	00:00:05.913	but i'm tryin' to think which memory is (0.6) within five minutes because they're all short (.) cute moments		ANSWER		INFORMATION		ANSWER	
00:00:14.383	00:00:15.039	00:00:00.656		mh=yea:h		ATTENTION		ATTENTION		ATTENTION
00:00:15.052	00:00:17.466	00:00:02.414		°we- we'll probably spend more than five minutes finding a memory°		INFORMATION		INFORMATION		INFORMATION
00:00:18.386	00:00:20.733	00:00:02.347	okay i (.) would (.) .hhh		THINK		THINK		THINK	
00:00:22.573	00:00:26.199	00:00:03.626	.hhh >°I don't know°< could be about the: (.) the camera cap		REQUEST		INFORMATION		THINK	
00:00:26.546	00:00:27.413	00:00:00.867		u[:h]		OTHER		OTHER		INTERRUPTION
00:00:26.706	00:00:30.573	00:00:03.867	[that] (.) ((laugh 0.5)) on our first trip (1.6) >to london a year ago<		INFORMATION		INFORMATION		INFORMATION	
00:00:30.679	00:00:31.559	00:00:00.880		°that was a good one°		INFORMATION		INFORMATION		INFORMATION
00:00:32.026	00:00:32.426	00:00:00.400		↓°yeah°		ATTENTION		ATTENTION		ATTENTION
00:00:33.426	00:00:34.186	00:00:00.760		>how do we do this<		QUESTION		NONQUESTION		QUESTION
00:00:35.219	00:00:36.885	00:00:01.666		do we just launch into the memory?		QUESTION		NONQUESTION		QUESTION
00:00:37.573	00:00:39.140	00:00:01.567	°do we° just launch into the memo[ry]		REPEAT		REPEAT		QUESTION	
00:00:39.146	00:00:40.226	00:00:01.080		[°I (.)] don't know°		ANSWER		THINK		ANSWER
00:00:41.279	00:00:45.720	00:00:04.441	but do you remember how you lost the: (.) camera cap (0.4) at the airport check in		QUESTION		QUESTION		QUESTION	
00:00:47.353	00:00:48.313	00:00:00.960		yea::h↑		THINK		THINK		ANSWER
00:00:48.587	00:00:49.667	00:00:01.080	is that not a good memory		QUESTION		QUESTION		QUESTION	
00:00:50.186	00:00:51.040	00:00:00.854		no i like the memory		ANSWER		ANSWER		ANSWER
00:00:51.186	00:00:55.307	00:00:04.121		just tryin' to think of what like (1.4) it means		INFORMATION		INFORMATION		INFORMATION
00:00:57.947	00:00:58.493	00:00:00.546	[>because<]		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:00:57.959	00:01:02.303	00:00:04.344		[yeah i] like that memory (.) 'cause that was (0.4) when we were tryin' to figure out		ANSWER		INFORMATION		INFORMATION
00:01:02.569	00:01:03.534	00:00:00.965		>it was our first trip<		INFORMATION		INFORMATION		INFORMATION
00:01:04.586	00:01:05.327	00:00:00.741		and >it was like<		THINK		OTHER		ELABORATION
00:01:06.206	00:01:07.655	00:00:01.449		can we:: (.) have		THINK		OTHER		QUESTION
00:01:08.154	00:01:09.620	00:00:01.466		you know can we travel (.) together		INFORMATION		INFORMATION		INFORMATION
00:01:10.793	00:01:12.446	00:00:01.653		you know >what does it mean< to travel together		INFORMATION		INFORMATION		INFORMATION
00:01:13.199	00:01:14.213	00:00:01.014		we were super excited		INFORMATION		INFORMATION		INFORMATION
00:01:15.053	00:01:16.173	00:00:01.120		ehm: >yeah ↑yeah<		THINK		THINK		THINK
00:01:16.680	00:01:18.520	00:00:01.840		>and i remember< we went to the airport,		INFORMATION		INFORMATION		INFORMATION
00:01:18.880	00:01:23.569	00:00:04.689		and i had my camera like strapped on my:: (0.3) [che]st we- which i never do		INFORMATION		INFORMATION		INFORMATION
00:01:21.933	00:01:22.440	00:00:00.507	[neck]		DETAIL		DETAIL		INTERRUPTION	
00:01:23.973	00:01:27.120	00:00:03.147		>but then i would do< and i had like the (.) cap on it >↓i remember that<		INFORMATION		INFORMATION		INFORMATION
00:01:28.387	00:01:29.227	00:00:00.840		>we had a lot of luggage<		INFORMATION		INFORMATION		INFORMATION
00:01:29.600	00:01:30.680	00:00:01.080	w(h)e had a lot of luggage		REPEAT		REPEAT		INFORMATION	
00:01:30.773	00:01:32.919	00:00:02.146		for:: (.) how many days?		QUESTION		QUESTION		QUESTION
00:01:33.067	00:01:33.893	00:00:00.826	for f[our days]		ANSWER		ANSWER		ANSWER	
00:01:33.559	00:01:36.359	00:00:02.800		[for f]o(h)ur da(h)[ys we h(h)ad two] giant bags you're ↑right 		REPEAT		REPEAT		INFORMATION
00:01:34.320	00:01:35.266	00:00:00.946	[for four days]		REPEAT		REPEAT		REPEAT	
00:01:37.373	00:01:37.813	00:00:00.440		°yeah°		ATTENTION		ATTENTION		ATTENTION
00:01:38.373	00:01:39.453	00:00:01.080		and then we went to::		INFORMATION		INFORMATION		INFORMATION
00:01:40.760	00:01:42.493	00:00:01.733		YEAH we went up to the counter		INFORMATION		INFORMATION		INFORMATION
00:01:43.160	00:01:45.213	00:00:02.053		a::nd (.) i don't even remember what happened		REQUEST		REQUEST		INFORMATION
00:01:45.520	00:01:51.120	00:00:05.600	i think you:: (.) have (.) you just picked up your camera (.) and then the front cap of the camera fell into the belt		ANSWER		ANSWER		INFORMATION	
00:01:51.310	00:01:52.610	00:00:01.300		but was that the first time though		NONQUESTION		NONQUESTION		QUESTION
00:01:52.610	00:01:56.140	00:00:03.530		i felt like it fell [fo- five or six times (.) before that]		ANSWER		INFORMATION		INFORMATION
00:01:53.466	00:01:56.573	00:00:03.107	[i think it fell off (.) outside already (.) maybe a few t]ime[s]		ANSWER		ANSWER		INFORMATION	
00:01:56.400	00:01:58.000	00:00:01.600		[ye]ah yeah >so I was super dodgy<		INFORMATION		INFORMATION		INFORMATION
00:01:58.447	00:02:01.966	00:00:03.519		yeah and it fell between the:: (1.1) cracks		INFORMATION		INFORMATION		INFORMATION
00:02:01.906	00:02:03.039	00:00:01.133	the conveyor b[elt]		DETAIL		DETAIL		DETAIL	
00:02:02.613	00:02:08.360	00:00:05.747		[the conv]eyor belt (.) y[es (.) you're right right >and it was like<] (0.5) deep in (?) ((laughs 1.6))		REPEAT		REPEAT		QUESTION
00:02:03.399	00:02:06.173	00:00:02.774	[into the machinery of the actual] airport		DETAIL		DETAIL		ANSWER	
00:02:06.767	00:02:08.393	00:00:01.626	((laughs 0.7)) it wa(h)s		OTHER		OTHER		INFORMATION	
00:02:08.600	00:02:14.226	00:00:05.626		yea:h (.) and all i could think is i had to take this whole trip with the: (.) exposed like lens		INFORMATION		INFORMATION		INFORMATION
00:02:12.353	00:02:13.100	00:00:00.747	((laugh))		OTHER		OTHER		OTHER	
00:02:14.573	00:02:15.506	00:00:00.933		[and i'm clumsy]		INFORMATION		INFORMATION		INFORMATION
00:02:14.586	00:02:16.773	00:00:02.187	th(h)[e first trip with] (.) blurry pictures		INFORMATION		INFORMATION		INFORMATION	
00:02:16.880	00:02:17.440	00:00:00.560		ri[ght]		ATTENTION		ATTENTION		ATTENTION
00:02:17.253	00:02:19.933	00:00:02.680	[the]y end up blurred anyway 'cause i'm terrible at taking photos		INFORMATION		INFORMATION		INFORMATION	
00:02:20.066	00:02:24.106	00:00:04.040		and we're clumsy [so: (.)] i was >definitely gonna< fuck that up a-		INFORMATION		INFORMATION		INTERRUPTION
00:02:20.939	00:02:21.593	00:00:00.654	[and we're clumsy]		REPEAT		REPEAT		REPEAT	
00:02:24.130	00:02:25.810	00:00:01.680	but i feel like maybe today w- because we've-		INFORMATION		INFORMATION		INTERRUPTION	
00:02:25.810	00:02:26.860	00:00:01.050	the cap is over there  		INFORMATION		INFORMATION		INFORMATION	
00:02:27.173	00:02:27.600	00:00:00.427		ye[ah]		ATTENTION		ATTENTION		ATTENTION
00:02:27.373	00:02:31.707	00:00:04.334	[and it] still hasn't been cleaned (0.4) from having been down (.) in the gutter at [the air-]		INFORMATION		INFORMATION		INFORMATION	
00:02:28.945	00:02:29.399	00:00:00.454		°that's right°		ATTENTION		ATTENTION		ATTENTION
00:02:31.413	00:02:33.333	00:00:01.920		[THAT] IS TRUE (.) that is tr[ue]		ATTENTION		ATTENTION		REPEAT
00:02:33.120	00:02:35.253	00:00:02.133	[tha-] y- you see the cap >was actually< found		INFORMATION		INFORMATION		INFORMATION	
00:02:36.065	00:02:36.879	00:00:00.814	yesterday		ELABORATION		ELABORATION		ELABORATION	
00:02:37.066	00:02:37.506	00:00:00.440		°yeah°		ATTENTION		ATTENTION		ATTENTION
00:02:37.733	00:02:40.293	00:00:02.560	and (1.1) [it ne]eds to be wa[shed]		INFORMATION		INFORMATION		INFORMATION	
00:02:38.973	00:02:39.413	00:00:00.440		wha[t's]-		INTERRUPTION		INTERRUPTION		INTERRUPTION
00:02:40.026	00:02:40.733	00:00:00.707		[°>nee]ds to be be washed<°		REPEAT		REPEAT		INFORMATION
00:02:40.560	00:02:42.533	00:00:01.973	and it just a(h)nd existed there		INFORMATION		INFORMATION		INFORMATION	
00:02:42.320	00:02:42.693	00:00:00.373		(h)		OTHER		OTHER		REPEAT
00:02:42.789	00:02:46.913	00:00:04.124	having (.) laid in: (0.5) old (.) airport check in bel[t]		ELABORATION		ELABORATION		INFORMATION	
00:02:46.573	00:02:47.866	00:00:01.293		[i] don't think it's ever been cleaned		INFORMATION		INFORMATION		INFORMATION
00:02:48.010	00:02:54.828	00:00:06.818		[so bas- bas-] it went in: the: (0.4) on the luggage thing (.) [that g]oes (0.2) when they take your luggage to check in,		INFORMATION		INFORMATION		INFORMATION
00:02:48.173	00:02:48.960	00:00:00.787	[(??)]		OTHER		OTHER		INTERRUPTION	
00:02:52.187	00:02:52.587	00:00:00.400	[mh]		ATTENTION		ATTENTION		ANSWER	
00:02:54.982	00:02:56.931	00:00:01.949		and it went (.)[under that belt]		INFORMATION		INFORMATION		INFORMATION
00:02:55.800	00:02:57.573	00:00:01.773	((laugh 1.0)) into] the [gap]		DETAIL		DETAIL		INFORMATION	
00:02:57.173	00:03:00.506	00:00:03.333		[which has] <never been seen> since they probably build that airport		INFORMATION		INFORMATION		QUESTION
00:03:00.546	00:03:06.053	00:00:05.507		s(h)o(h) (.) and it was like (.) and then >i remember< askin' the lady: like (.) can i look for the cap		INFORMATION		INFORMATION		INFORMATION
00:03:06.026	00:03:06.666	00:00:00.640	y(h)ea(h)h		ATTENTION		ATTENTION		ATTENTION	
00:03:06.900	00:03:08.240	00:00:01.340		and i thought she'd say no		INFORMATION		INFORMATION		INFORMATION
00:03:08.240	00:03:12.893	00:00:04.653		>i literally thought< she'd be like you're cap's lost and she's like yeah so i'm like (.) okay now i ↑have to go		INFORMATION		INFORMATION		INFORMATION
00:03:13.000	00:03:13.520	00:00:00.520	y(h)ea(h)h		ATTENTION		ATTENTION		ATTENTION	
00:03:13.586	00:03:19.533	00:00:05.947		and my whole- went my whole arm (.) like up to [my sh(h)oulder(h)]s like underneath this con(h)vey(h)er [belt]		INFORMATION		INFORMATION		INFORMATION
00:03:16.107	00:03:16.907	00:00:00.800	[your whole arm]		REPEAT		REPEAT		REPEAT	
00:03:18.840	00:03:19.160	00:00:00.320	[ye-]		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:03:19.266	00:03:20.959	00:00:01.693	[but] he- he didn't get it either		INFORMATION		INTERRUPTION		INFORMATION	
00:03:20.053	00:03:20.640	00:00:00.587		((cough))		OTHER		OTHER		OTHER
00:03:21.350	00:03:24.470	00:00:03.120	i had to then climb over AFTER hi(h)m ((laugh 1.0))		INFORMATION		INFORMATION		INFORMATION	
00:03:22.133	00:03:24.199	00:00:02.066		((laugh))		OTHER		OTHER		OTHER
00:03:24.490	00:03:28.826	00:00:04.336	and lay flat on the conv[eyer belt] (.) to get my arm all the way in there		INFORMATION		INFORMATION		INFORMATION	
00:03:26.066	00:03:26.733	00:00:00.667		[°ye- right°]		ATTENTION		ATTENTION		INTERRUPTION
00:03:28.920	00:03:29.560	00:00:00.640		>yeah< (.) and [all he-]		INTERRUPTION		INTERRUPTION		INFORMATION
00:03:29.173	00:03:30.790	00:00:01.617	[>the lady] didn' t try once by the way		INFORMATION		INFORMATION		INFORMATION	
00:03:30.800	00:03:35.053	00:00:04.253	i cannot believe she didn't even attem[pt<] (0.3) WITH LIKE A PEN (0.5) maybe a magnet		INFORMATION		INFORMATION		INFORMATION	
00:03:32.297	00:03:34.378	00:00:02.081		[>sh]e didn't even tr[ied it she didn't even t]ried it<		REPEAT		REPEAT		INFORMATION
00:03:35.000	00:03:35.635	00:00:00.635		°>she didn't try it<°		REPEAT		REPEAT		INFORMATION
