Speaker1	Speaker2	DialogueAct _ S1	DialogueAct _ S2	DialogueAct_S1_R	DialogueActs_S2_R
we just ↑remi[NISCE]		STATEMENT		STATEMENT	
	[remi]nisce		BACKCHANNEL		BACKCHANNEL
[eh]		OTHER		OTHER	
	(a)[bout] a shared memory		STATEMENT		STATEMENT
'kay		BACKCHANNEL		BACKCHANNEL	
m::h hhh ((tsk))		OTHER		OTHER	
	which memory would you like		QUESTION		QUESTION
but i'm tryin' to think which memory is (0.6) within five minutes because they're all short (.) cute moments		STATEMENT		STATEMENT	
	mh=yea:h		ACKNOWLEDGEMENT		ACKNOWLEDGEMENT
	°we- we'll probably spend more than five minutes finding a memory°		STATEMENT		STATEMENT
okay i (.) would (.) .hhh		OTHER		OTHER	
.hhh >°I don't know°< could be about the: (.) the camera cap		QUESTION		STATEMENT	
	u[:h]		OTHER		OTHER
[that] (.) ((laugh 0.5)) on our first trip (1.6) >to london a year ago<		STATEMENT		STATEMENT	
	°that was a good one°		EXPRESSIVE		STATEMENT
	↓°yeah°		ACKNOWLEDGEMENT		ACKNOWLEDGEMENT
	>how do we do this<		QUESTION		QUESTION
	do you just launch into the memory?		QUESTION		QUESTION
°do we° just launch into the memo[ry]		ACKNOWLEDGEMENT		BACKCHANNEL	
	[°I (.)] don't know°		ANSWER		ANSWER
but do you remember how you lost the: (.) camera cap (0.4) at the airport check in		QUESTION		QUESTION	
	yea::h↑		EMOTIVE		EXPRESSIVE
is that not a good memory		QUESTION		QUESTION	
	no i like the memory		ANSWER		ANSWER
	just tryin' to think of what like (1.4) it means		STATEMENT		ANSWER
[>because<]		OTHER		ACKNOWLEDGEMENT	
	[yeah i] like that memory (.) 'cause that was (0.4) when we were tryin' to figure out		STATEMENT		STATEMENT
	>it was our first trip<		STATEMENT		CLARIFICATION
	and >it was like<		STATEMENT		STATEMENT
	can we:: (.) have		QUESTION		QUESTION
	you know can we travel (.) together		REPAIR		QUESTION
	you know >what does it mean< to travel together		QUESTION		QUESTION
	we were super excited		STATEMENT		STATEMENT
	ehm: >yeah ↑yeah<		OTHER		BACKCHANNEL
	>and i remember< we went to the airport		STATEMENT		QUESTION
	and i had my camera like strapped on my:: (0.3) [che]st we- which i never do		STATEMENT		STATEMENT
[neck]		ACKNOWLEDGEMENT		CLARIFICATION	
	>but then i would do< and i had like the (.) cap on it >↓i remember that<		STATEMENT		STATEMENT
	>we had a lot of luggage<		STATEMENT		STATEMENT
w(h)e had a lot of luggage		ACKNOWLEDGEMENT		BACKCHANNEL	
	for:: (.) how many days?		QUESTION		QUESTION
for f[our days]		ANSWER		ANSWER	
	[for f]o(h)ur da(h)[ys we h(h)ad two] giant bags you're ↑right 		ACKNOWLEDGEMENT		STATEMENT
[for four days]		ACKNOWLEDGEMENT		BACKCHANNEL	
	°yeah°		OTHER		OTHER
	and then we went to::		STATEMENT		STATEMENT
	YEAH we went up to the counter		STATEMENT		STATEMENT
	a::nd (.) i don't even remember what happened		STATEMENT		STATEMENT
i think you:: (.) have (.) you just picked up your camera (.) and then the front cap of the camera fell into the belt		STATEMENT		STATEMENT	
	but was that the first time though		QUESTION		REPAIR
