Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	E	R	NEWANN_1	NEWANN_2
00:00:00.710	00:00:05.718	00:00:05.008	No we-we didn't make it up (.) i-i- (.) it already existed °I think° (1.2) but like,		INFORMATION	
00:00:03.876	00:00:04.753	00:00:00.877		yeah:: i think so 		ATTENTION
00:00:05.597	00:00:06.845	00:00:01.248		hhh hhh		OTHER
00:00:06.723	00:00:09.835	00:00:03.112	heh yea(h)h .hhh they compare it to Ibiza but (.) not like,		INFORMATION	
00:00:09.871	00:00:11.376	00:00:01.505		't's nothing like it but,		INFORMATION
00:00:11.305	00:00:12.967	00:00:01.662	['tis] not heh it's nothing like it.		REPEAT	
00:00:12.389	00:00:13.464	00:00:01.075		it's an island heh		DETAIL
00:00:13.410	00:00:13.989	00:00:00.579	hhh heh		OTHER	
00:00:14.384	00:00:20.251	00:00:05.867		and Into The Great Wide Open happens there and THEN there's party (.) but hhh (.) there wasn't because it was Corona back then.		INFORMATION
00:00:14.592	00:00:15.476	00:00:00.884	[I think it's a joke]		INFORMATION	
00:00:16.780	00:00:17.234	00:00:00.454	[yeah]		ATTENTION	
00:00:21.059	00:00:23.413	00:00:02.354		tsk this was like in (0.5) 2020 ((twenty twenty))		INFORMATION
00:00:25.378	00:00:25.996	00:00:00.618	festival		INFORMATION	
00:00:27.010	00:00:28.182	00:00:01.172		heh heh heh		OTHER
00:00:27.404	00:00:30.460	00:00:03.056	NO like ye-you (.) your PARENTS always go to.		INFORMATION	
00:00:28.751	00:00:29.430	00:00:00.679		[y::eah,]		ATTENTION
00:00:30.892	00:00:35.515	00:00:04.623		yeah↓ my parents go every year and when I was younger I also went with them (0.5) and then,		INFORMATION
00:00:35.515	00:00:36.621	00:00:01.106	°you already booked in°		INFORMATION	
00:00:36.856	00:00:38.851	00:00:01.995		they already booked for me and my brother,		INFORMATION
00:00:40.171	00:00:42.941	00:00:02.770		and then my brother coudn't come anymore hhh (0.5) for some reason,		INFORMATION
00:00:43.237	00:00:44.494	00:00:01.257		°and then E was just invited°		INFORMATION
00:00:45.284	00:00:47.374	00:00:02.090	'n' i said (.) ye::as heh		INFORMATION	
00:00:45.952	00:00:48.074	00:00:02.122		°(word) is so cute (word)°		INFORMATION
00:00:48.501	00:00:49.053	00:00:00.552		with the fam'		DETAIL
00:00:49.386	00:00:49.848	00:00:00.462	the fam		REPEAT	
00:00:50.010	00:00:50.774	00:00:00.764	horrible weather↑		INFORMATION	
00:00:51.394	00:00:53.692	00:00:02.298		oh it was not good hhh heh heh		INFORMATION
00:00:52.456	00:00:53.780	00:00:01.324	no. just rain.		INFORMATION	
00:00:54.002	00:00:57.223	00:00:03.221		also the town was very DEAD because there was °no festival of course°		INFORMATION
00:00:54.435	00:00:54.964	00:00:00.529	just rain↓		REPEAT	
00:00:57.297	00:00:58.425	00:00:01.128	yeah and °covid°.		INFORMATION	
00:00:59.112	00:00:59.566	00:00:00.454		y::eah		ATTENTION
00:01:00.612	00:01:04.325	00:00:03.713	we didn't really do a lot. w-we played we played we played GAMES		INFORMATION	
00:01:01.882	00:01:04.194	00:00:02.312		beach WALKS hhh (word)		INFORMATION
00:01:04.907	00:01:05.482	00:00:00.575		yes		ATTENTION
00:01:05.757	00:01:06.585	00:00:00.828	lot of uh::		THINK	
00:01:07.325	00:01:08.138	00:00:00.813		terrasjes ((codeswitching-sidewalk cafes))		INFORMATION
00:01:07.333	00:01:07.571	00:00:00.238	tsk		OTHER	
00:01:08.487	00:01:09.786	00:00:01.299	°°no not a lot°		INFORMATION	
00:01:09.812	00:01:12.369	00:00:02.557	we played uh::m tsk regenwormen ((codeswitching-dutch game name))		INFORMATION	
00:01:11.194	00:01:13.217	00:00:02.023		[regenwormen((codeswitching- dutch game name))] (0.5) rainworms,		REPEAT
00:01:13.871	00:01:14.312	00:00:00.441	YUP		ATTENTION	
00:01:15.056	00:01:19.855	00:00:04.799	>and we< (.) saw (1.0) °uh::° (1.0) °°a couple of zeehonden ((codeswitching - seals))°°		INFORMATION	
00:01:19.946	00:01:23.982	00:00:04.036		hhh hhh se(h)als (0.5) we saw seals.		DETAIL
00:01:22.453	00:01:23.012	00:00:00.559	$seals$		REPEAT	
00:01:23.898	00:01:24.229	00:00:00.331	yeah		ATTENTION	
00:01:25.215	00:01:26.400	00:00:01.185		s(h)o fu(h)nn(h)y		OTHER
00:01:25.860	00:01:28.575	00:00:02.715	*OH and I had (.) uh back pain (.) and I went to- (.)		INFORMATION	
00:01:28.602	00:01:29.516	00:00:00.914	° I always have back pain°,		INFORMATION	
00:01:29.748	00:01:30.948	00:00:01.200		heh you:: and I		INFORMATION
00:01:30.379	00:01:34.489	00:00:04.110	>and I had to< do exercises, (2.0) so I-I went running.		INFORMATION	
00:01:32.121	00:01:33.247	00:00:01.126		hhh heh		OTHER
