Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	ellen	gianmarco	ANN_E	ANN_G
00:00:01.900	00:00:04.920	00:00:03.020		ho- >wh- like< (.) what was the weather (.) when we met		QUESTION
00:00:06.190	00:00:06.800	00:00:00.610		that day		ELABORATION
00:00:07.080	00:00:07.910	00:00:00.830		do you remember?		QUESTION
00:00:08.420	00:00:09.150	00:00:00.730	in copenhag[en?]		QUESTION	
00:00:09.020	00:00:09.950	00:00:00.930		[in] copenhagen yes		REPEAT
00:00:11.690	00:00:12.400	00:00:00.710	clouds		ANSWER	
00:00:12.900	00:00:13.230	00:00:00.330		mh		ATTENTION
00:00:13.790	00:00:14.780	00:00:00.990		was it cloudy?		QUESTION
00:00:16.210	00:00:17.370	00:00:01.160	no? (.) wasn't it?		QUESTION	
00:00:18.000	00:00:18.750	00:00:00.750		i think [it=was-]		INTERRUPTION
00:00:18.390	00:00:19.850	00:00:01.460	[it was] a:: good spring day		ANSWER	
00:00:19.880	00:00:20.710	00:00:00.830	a nice spring day		ELABORATION	
00:00:20.745	00:00:25.000	00:00:04.255		=I think it was like (.) <the f:irst spring day ever?> like (.) in scandinavia,		INFORMATION
00:00:25.700	00:00:26.530	00:00:00.830	yea:h probably		ATTENTION	
00:00:27.000	00:00:29.720	00:00:02.720		and ehm:: (.) it was pretty warm,		INFORMATION
00:00:29.800	00:00:32.460	00:00:02.660		we were:: (.) on tshirts a- at some point,		INFORMATION
00:00:32.500	00:00:33.340	00:00:00.840		°do you remember?°		QUESTION
00:00:32.600	00:00:36.840	00:00:04.240	yea::h >but that was like< for: (.) maybe half an hour (.) down at the docks		INFORMATION	
00:00:37.110	00:00:38.150	00:00:01.040	when we had the beers		ELABORATION	
00:00:38.600	00:00:40.680	00:00:02.080		so but when i came ((cough)) like		INFORMATION
00:00:41.040	00:00:44.150	00:00:03.110		ehm (.) when i came it was: (.) cloudy? really?		QUESTION
00:00:44.855	00:00:45.220	00:00:00.365	↑yeah		ANSWER	
00:00:46.870	00:00:47.840	00:00:00.970		i don't remember that		INFORMATION
00:00:47.860	00:00:49.110	00:00:01.250	but we went there together		INFORMATION	
00:00:50.490	00:00:54.850	00:00:04.360		>yeah (.) so< what- sh- shit i don't reme- there's some things >that i don't remember like<		INFORMATION
00:00:54.870	00:00:58.790	00:00:03.920		i arrived in=ah (1.5) kastrup airport,		INFORMATION
00:00:58.890	00:00:59.320	00:00:00.430	yeah,		ATTENTION	
00:00:59.873	00:01:01.380	00:00:01.507		and then went straight to malmö		INFORMATION
00:01:01.636	00:01:03.430	00:00:01.794	yea:::h [true]		ATTENTION	
00:01:03.100	00:01:03.450	00:00:00.350		[°okay°]		ATTENTION
00:01:04.380	00:01:06.420	00:00:02.040		shi:- why why i don't remember this like		NONQUESTION
00:01:06.430	00:01:08.870	00:00:02.440		there's- sometimes there are things that i: don't remember		INFORMATION
00:01:08.970	00:01:10.310	00:00:01.340	and then I met you in malmö,		INFORMATION	
00:01:10.490	00:01:10.910	00:00:00.420		okay,		ATTENTION
00:01:11.480	00:01:12.750	00:00:01.270	and then we went		INFORMATION	
00:01:13.190	00:01:14.360	00:00:01.170	and left your things,		ELABORATION	
00:01:15.280	00:01:16.750	00:00:01.470		a:::h true		ATTENTION
00:01:17.390	00:01:20.280	00:00:02.890	and then you: dressed like (.) copenhagen style		INFORMATION	
00:01:20.330	00:01:21.320	00:00:00.990		yea:(h)h(h)		ATTENTION
00:01:21.790	00:01:23.220	00:00:01.430		 what is copenhagen style		QUESTION
00:01:23.280	00:01:24.960	00:00:01.680	((laugh))		OTHER	
